GRANT ST AT 7TH AVE FS, strip
FORBES AVE OPP MOREWOOD AVE (CARNEGIE MELLON), squill
BRERETON ST AT 30TH ST, strip
NEGLEY AVE AT KENTUCKY AVE, shadyside
BIGELOW BLVD OPP BLOOMFIELD BRIDGE, oakland
HALKET ST AT FORBES AVE, oakland
BLACK ST AT NEGLEY AVE FS, east_liberty
WIGHTMAN ST AT BEACON ST, squill
EAST LIBERTY BLVD AT LARIMER AVE, east_liberty
LINCOLN AVE AT FRANKSTOWN AVE, east_liberty
HIGHLAND AVE AT ELWOOD ST, east_liberty
LAYOVER EAST LIBERTY TERMINAL (NO STOP), east_liberty
FORBES AVE OPP BEELER ST, squill
BLACK ST AT NEGLEY AVE FS, east_liberty
STANWIX ST AT FORBES AVE, downtown
EAST BUSWAY AT PENN STATION B, strip
HIGHLAND AVE AT HOWE ST, east_liberty
FRIENDSHIP AVE AT EDMOND ST, oakland
STEEL PLAZA STATION, strip
ALLEQUIPPA ST AT SR. RESIDENCE (#2418), oakland
FIFTH AVE OPP THACKERAY AVE, oakland
LARIMER AVE AT MAYFLOWER ST, east_liberty
DARLINGTON RD AT BEACON ST, squill 
FIFTH AVE AT HALKET ST, oakland
LIBERTY AVE AT EDMOND ST, oakland
BEACON ST AT MUNHALL RD, squill
FIFTH AVE AT AMBERSON AVE, squill
ELLSWORTH AVE AT AMBERSON AVE, shadyside
NEGLEY AVE AT STANTON AVE, east_liberty
CRAWFORD ST AT CENTRE AVE, strip
PENN AVE AT 11TH ST, strip
HAMILTON AVE AT EAST LIBERTY BLVD, east_liberty
SEVENTH AVE AT WILLIAM PENN PL, strip
MULHATTON ST AT BEACON ST FS, squill
OAK HILL DR AT BENTLEY DR, oakland
FORBES AVE AT DALLAS AVE, squill 
AIKEN AVE AT ROSETTA ST, east_liberty
CENTRE AVE OPP WATT ST, oakland
REED ST OPP ELMORE ST, oakland
SHADY AVE AT PHILLIPS AVE, squill
SMITHFIELD ST AT SIXTH AVE, downtown
BENTLEY DR AT OAK HILL DR, oakland
ALLEQUIPPA ST OPP DARRAGH ST, oakland
SHADY AVE AT BEACON ST, squill 
FIFTH AVE AT CRAIG ST NS, oakland
EAST BUSWAY AT NEGLEY STATION D, shadyside
MURRAY AVE AT AYLESBORO AVE, squill
ALLEQUIPPA ST AT SR. RESIDENCE (TERRACE), oakland
